Party,Smart,"P(HW|Party,Smart)",,,,Smart,Creative,"P(Mac|Smart, Creative)",,,,Success,Mac,Party,"P(Happy|Success,Mac,Party)",,
T,T,1722,2145,0.802797203,,T,T,1685,2457,0.685795686,,T,T,T,921,960,0.959375
T,F,81,866,0.093533487,,T,F,441,1067,0.413308341,,T,T,F,271,757,0.357992074
F,T,1239,1379,0.898477157,,F,T,933,1040,0.897115385,,T,F,T,456,632,0.721518987
F,F,186,610,0.304918033,,F,F,53,436,0.121559633,,F,T,T,449,912,0.492324561
,,,,,,,,,,,,T,F,F,135,440,0.306818182
,,,,,,,,,,,,F,T,F,99,483,0.204968944
,,,,,,,,,,,,F,F,T,213,507,0.420118343
Smart,Creative,"P(Project|Smart, Creative)",,,,HW,Project,"P(Success|HW, Project)",,,,F,F,F,29,309,0.093851133
T,T,2224,2457,0.905168905,,T,T,2394,2670,0.896629213,,,,,,,
T,F,847,1067,0.793814433,,T,F,171,558,0.306451613,,Party,,,P(Party),,
F,T,419,1040,0.402884615,,F,T,179,866,0.20669746,,T,3011,5000,0.6022,,
F,F,46,436,0.105504587,,F,F,45,906,0.049668874,,Smart,,,P(Smart),,
,,,,,,,,,,,,T,3524,5000,0.7048,,
,,,,,,,,,,,,Creative,,,P(Creative),,
,,,,,,,,,,,,T,3497,5000,0.6994,,